類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,Latitude,Longitude
金門縣警察局,700,東門里,金門縣金城鎮金山路15號,24.42881，118.32197,1,2303,金城分局,,24.42881,118.32197
西門里公所,701,西門里,金門縣金城鎮民權路90-6號,24.43386，118.31236,1,50,金城分局,,24.43386,118.31236
金門高中藝文中心,702,西門里,金門縣金城鎮光前路94號,24.43515，118.31406,1,366,金城分局,,24.43515,118.31406
金門高中人事室,703,西門里,金門縣金城鎮光前路94號,24.43515，118.31406,1,471,金城分局,,24.43515,118.31406
金門高中科學大樓,704,西門里,金門縣金城鎮光前路94號,24.43515，118.31406,1,463,金城分局,,24.43515,118.31406
金門高中生活科技館,705,西門里,金門縣金城鎮光前路94號,24.43515，118.31406,1,246,金城分局,,24.43515,118.31406
中正國小行政樓,706,西門里,金門縣金城鎮珠浦北路38號,24.43478，118.31687,1,777,金城分局,,24.43478,118.31687
中正國小專科教室,707,西門里,金門縣金城鎮珠浦北路38號,24.43478，118.31687,1,666,金城分局,,24.43478,118.31687
金門縣文化局,708,西門里,金門縣金城鎮環島北路66號,24.44153，118.32302,1,88,金城分局,,24.44153,118.32302
金城衛生所,709,西門里,金門縣金城鎮民權路147號,24.43632，118.31779,1,25,金城分局,,24.43632,118.31779
金門地方法院,710,西門里,金門縣金城鎮民權路178號,24.43771，118.31853,1,44,金城分局,,24.43771,118.31853
金門縣稅務局,712,南門里,金門縣金城鎮民族路328號,24.43117，118.3139,1,5,金城分局,,24.43117,118.3139
莒光樓,713,南門里,金門縣金城鎮賢城路1號,24.43376，118.31884,1,66,金城分局,,24.43376,118.31884
金城國中,714,南門里,金門縣金城鎮民權路32號,24.43146，118.31301,1,741,金城分局,,24.43146,118.31301
行政院金馬服務中心,715,南門里,金門縣金城鎮民權路34號,24.43608，118.31739,1,222,金城分局,,24.43608,118.31739
金城鎮公所,716,北門里,金門縣金城鎮北門里民生路2號,24.43644，118.31817,1,173,金城分局,,24.43644,118.31817
金城車站,717,北門里,金門縣金城鎮北門里民生路7號,24.43412，118.31965,1,861,金城分局,,24.43412,118.31965
金城幼兒園,718,北門里,金門縣金城鎮北門里民生路38號,24.43549，118.31964,1,166,金城分局,,24.43549,118.31964
金城分局,719,北門里,金門縣金城鎮民生路54巷1號,24.4365，118.31947,1,694,金城分局,,24.4365,118.31947
賢庵國小,720,賢庵里,金門縣金城鎮賢庵里13鄰庵前18-2號,24.43331，118.31165,1,148,金城分局,,24.43331,118.31165
官裡社區發展協會,721,賢庵里,金門縣金城鎮賢庵里14鄰官裡1-1號,24.43806，118.31743,1,157,金城分局,,24.43806,118.31743
金門縣港務處,722,金水里,金門縣金城鎮金水里西海路一段5號,24.41226，118.2981,1,2248,金城分局,,24.41226,118.2981
古城國民小學,723,古城里,金門縣金城鎮古城里大古崗100號,24.43282，118.32063,1,22,金城分局,,24.43282,118.32063
古城辦公處所,724,古城里,金門縣金城鎮古城里小古崗40-1號,24.43137，118.31866,1,22,金城分局,,24.43137,118.31866
金門酒廠,725,古城里,金門縣金城鎮古城里金門城68號,24.43282，118.32063,1,177,金城分局,,24.43282,118.32063
金門酒廠,726,榜林村,金門縣金寧鄉榜林村13鄰桃園路1號,24.43709，118.3536,2,55,金城分局,,24.43709,118.3536
金鼎國小,727,盤山村,金門縣金寧鄉盤山村9鄰下堡123號,24.44784，118.34022,1,222,金城分局,,24.44784,118.34022
垵湖分校,728,湖埔村,金門縣金寧鄉榜林村14鄰后湖87號,24.4317，118.33042,1,111,金城分局,,24.4317,118.33042
金寧中小學,730,安美村,金門縣金寧鄉安美村10鄰安岐1號,24.46484，118.33641,1,1000,金城分局,,24.46484,118.33641
后盤村公所,732,后盤村,金門縣金寧鄉后盤村2鄰后盤山33號,24.43825，118.34488,1,111,金城分局,,24.43825,118.34488
金門大學,733,盤山村,金門縣金寧鄉盤山村23鄰大學路1號,24.44517，118.32669,1,2222,金城分局,,24.44517,118.32669
金寧鄉公所,734,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村1號,24.45096，118.33488,1,364,金城分局,,24.45096,118.33488
金寧分駐所,735,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村2號,24.44884，118.33879,1,222,金城分局,,24.44884,118.33879
金寧衛生所,736,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村2-1號,24.77105，121.00468,1,222,金城分局,,24.77105,121.00468
金門地政局,737,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村3號,24.45041，118.3344,1,111,金城分局,,24.45041,118.3344
更生保護會,738,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村5號,24.44704，118.33956,1,377,金城分局,,24.44704,118.33956
烈嶼分駐所,739,林湖村,金門縣烈嶼鄉林湖村西路37號,24.44594，118.25209,1,55,金城分局,,24.44594,118.25209
卓環國小,740,林湖村,金門縣烈嶼鄉林湖村西路23號,24.44055，118.26007,1,7,金城分局,,24.44055,118.26007
烈嶼公車站,741,林湖村,金門縣烈嶼鄉林湖村湖下35號,24.43844，118.24342,1,22,金城分局,,24.43844,118.24342
烈嶼鄉公所,742,林湖村,金門縣烈嶼鄉林湖村西路60號,24.43844，118.24342,1,1041,金城分局,,24.43844,118.24342
林湖村公所,743,林湖村,金門縣烈嶼鄉林湖村東林24號,24.42994，118.24793,1,118,金城分局,,24.42994,118.24793
西口國小,745,西口村,金門縣烈嶼鄉西口村西方69號,24.443，118.32009,1,40,金城分局,,24.443,118.32009
署立金門醫院烈嶼分院,746,上林村,金門縣烈嶼鄉上林村后井37號,24.43482，118.23731,1,66,金城分局,,24.43482,118.23731
烈嶼國中,747,上林村,金門縣烈嶼鄉上林村后井38號,24.43221，118.2435,1,146,金城分局,,24.43221,118.2435
上岐國小,749,上岐村,金門縣烈嶼鄉上岐村青岐123號,24.42101，118.23492,1,11,金城分局,,24.42101,118.23492
海福飯店,751,西門里,金門縣金城鎮民權路85號,24.43887，118.31972,1,141,金城分局,,24.43887,118.31972
金帝飯店,752,西門里,金門縣金城鎮民權路107號,24.4339，118.31554,1,107,金城分局,,24.4339,118.31554
新華僑之家,753,西門里,金門縣金城鎮光前路147號,24.43582，118.31278,1,132,金城分局,,24.43582,118.31278
外武廟管理委員會,754,西門里,金門縣金城鎮光前路72號,24.43301，118.31542,1,111,金城分局,,24.43301,118.31542
華欣商務旅館,755,西門里,金門縣金城鎮莒光路156號之2,24.43355，118.31632,1,95,金城分局,,24.43355,118.31632
臺灣中小型企業銀行,756,西門里,金門縣金城鎮民權路116號,24.43608，118.31739,1,257,金城分局,,24.43608,118.31739
中華電信,757,西門里,金門縣金城鎮民權路182號,24.43673，118.31755,1,555,金城分局,,24.43673,118.31755
